generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
1251,0.37655000000000005,False,1,0.0,0.19240000000000002,0.8815,80.2,0.0,0.0,0.0,1.8365169866297275,0.3483630382799329,2.04320301777343,1.115820230951017,0.3208324530658766,0.3485354550186848,0.3416771758861415,0.6852365533585516,0.05
1252,0.40674999999999994,False,1,0.0,0.24830000000000002,0.8051999999999999,60.0,0.0,0.0,0.0,1.9630415258392655,0.3479019496426528,2.3067571120150494,1.2807470102843708,0.44928558544133096,0.34826850275501353,0.466798512850629,0.7825937219333695,0.05
1253,0.4169999999999999,False,1,0.0,0.19419999999999998,1.0,90.05,0.0,0.0,0.0,1.7213998219479063,0.14132278642416232,1.5233,0.03107104761671226,0.20161743415054084,0.13059140298838987,2.587621210757779e-173,0.0,0.05
1254,0.44465,False,1,0.0,0.2042,0.9355,62.6,0.0,0.0,0.0,1.8127749547069647,0.23993435637800872,1.6617942508609027,0.33414065702814955,0.2948264312246102,0.2694425276872964,0.08890000060342677,0.2382160591920409,0.05
1255,0.36324999999999996,False,1,0.0,0.22920000000000001,0.8157,79.6,0.0,0.0,0.0,1.9153376895117955,0.36498314136850785,2.304365029290621,1.206020639675256,0.40957691428889964,0.38657093705705,0.6344650292906205,0.9799255326710775,0.05
1256,0.42355,False,1,0.0,0.2476,0.8177,54.55,0.0,0.0,0.0,1.9544479743030467,0.4002795784282867,2.318337233204711,1.1895180217054488,0.44032449136458596,0.3775024404230087,0.48669219284551835,0.7804321366153699,0.05
1257,0.4215,False,1,0.0,0.123,1.0,70.0,0.0,0.0,0.0,1.629071412701047,0.07494812802741792,1.5590224832216906,0.06866978254313155,0.13415202771150314,0.09731920752919804,0.014800000000000493,0.04440000000000147,0.05
1258,0.36754999999999993,False,1,0.0,0.20820000000000002,0.8069,70.0,0.0,0.0,0.0,1.8991746042553952,0.36136278868470756,2.148722069942155,0.9907470346876623,0.41365130228314867,0.3926227865861765,0.4225719761995913,0.6874091603389667,0.05
1259,0.44994999999999996,False,1,0.0,0.19350000000000003,1.0,73.4,0.0,0.0,0.0,1.7495585822075033,0.14108751214709261,1.5258,0.02801356814117045,0.2252628141154281,0.10416786840085948,9.733588729013651e-210,0.0,0.05
1260,0.3612,False,1,0.0,0.1367,0.9335000000000001,86.95,0.0,0.0,0.0,1.7662671992167465,0.4238067295305129,1.8338391604618416,0.9689603494341136,0.23339562286034132,0.3447257310847805,0.20821693450969309,0.6114337834866075,0.05
