condition,run_id,tick,mother_alive,child_alive,mother_energy,child_hunger,child_warmth,deficit,eta,selected_motivation
fixed,0,890,1,0,11.20000000000092,100.0,28.0,3.3640357513459143,,Self
fixed,0,900,1,0,10.200000000000923,100.0,28.0,3.372775557314445,,Self
fixed,0,910,1,0,8.300000000000926,100.0,28.0,3.413616943135188,,Self
fixed,0,920,1,0,6.400000000000929,100.0,28.0,3.4510171296962504,,Forage
fixed,0,930,1,0,5.400000000000933,100.0,28.0,3.4624174434509354,,Self
fixed,0,940,1,0,3.500000000000935,100.0,28.0,3.501386977805653,,Self
fixed,0,950,1,0,2.500000000000934,100.0,28.0,3.510857651975064,,Self
fixed,0,960,1,0,6.500000000000936,100.0,28.0,3.446912643841142,,Self
fixed,0,970,1,0,4.600000000000939,100.0,28.0,3.4790731933343877,,Self
fixed,0,980,1,0,8.600000000000941,100.0,28.0,3.4381749256453435,,Forage
fixed,0,990,1,0,6.700000000000944,100.0,28.0,3.4463755209053923,,Forage
fixed,0,1000,1,0,5.700000000000948,100.0,28.0,3.4547873579210124,,Self
fixed,1,1,1,1,99.0,1.0,49.5,0.3711710000579143,,Protect
fixed,1,10,1,1,92.70000000000002,10.0,45.0,0.9140853485619062,,Protect
fixed,1,20,1,1,91.70000000000007,20.0,40.0,1.1971275501253889,,Protect
fixed,1,30,1,1,90.70000000000013,30.0,37.0,1.4391911272916282,,Protect
fixed,1,40,1,1,89.70000000000019,40.0,37.0,1.617681361835028,,Protect
fixed,1,50,1,1,88.70000000000024,50.0,38.0,1.9756857845995122,,Care
fixed,1,60,1,1,87.7000000000003,60.0,38.0,2.6110517828967454,,Protect
fixed,1,70,1,1,81.30000000000032,70.0,35.0,3.1358799834562934,,Forage
fixed,1,80,1,1,74.90000000000035,60.0,30.0,3.456074680632822,,Self
fixed,1,90,1,1,73.9000000000004,70.0,25.0,3.71772087063873,,Self
fixed,1,100,1,1,72.90000000000046,80.0,20.0,4.013165126042694,,Forage
fixed,1,110,1,1,64.70000000000047,90.0,15.0,4.219807145255402,,Forage
fixed,1,120,1,1,61.90000000000046,80.0,10.0,4.613842790020156,,Self
fixed,1,130,1,1,60.900000000000446,90.0,5.0,4.8878567791920995,,Self
fixed,1,140,1,0,59.90000000000043,100.0,0.0,2.7571818979828357,,Self
fixed,1,150,1,0,58.90000000000042,100.0,0.0,2.162020336579521,,Self
fixed,1,160,1,0,57.900000000000404,100.0,0.0,2.2515523324259794,,Self
fixed,1,170,1,0,56.90000000000039,100.0,0.0,2.27233345856101,,Self
fixed,1,180,1,0,55.900000000000375,100.0,0.0,2.27764411759391,,Self
fixed,1,190,1,0,54.90000000000036,100.0,0.0,2.2805600606930576,,Self
fixed,1,200,1,0,53.90000000000035,100.0,0.0,2.2831449795285845,,Self
fixed,1,210,1,0,52.90000000000033,100.0,0.0,2.2856864959626675,,Self
fixed,1,220,1,0,51.90000000000032,100.0,0.0,2.2882224804418456,,Self
fixed,1,230,1,0,50.900000000000304,100.0,0.0,2.290757771131642,,Self
fixed,1,240,1,0,49.90000000000029,100.0,0.0,2.293292975637215,,Self
fixed,1,250,1,0,48.900000000000276,100.0,0.0,2.295828169498332,,Self
fixed,1,260,1,0,46.100000000000264,100.0,0.0,2.3621685415875278,,Self
fixed,1,270,1,0,43.30000000000025,100.0,0.0,2.429261274263544,,Self
fixed,1,280,1,0,47.30000000000024,100.0,0.0,2.372222741363923,,Self
fixed,1,290,1,0,46.300000000000225,100.0,0.0,2.374422186745342,,Self
fixed,1,300,1,0,44.40000000000021,100.0,0.0,2.4069548809411754,,Self
fixed,1,310,1,0,41.6000000000002,100.0,0.0,2.473762424392644,,Self
fixed,1,320,1,0,45.600000000000186,100.0,0.0,2.4190834634725134,,Self
