condition,run_id,tick,mother_alive,child_alive,mother_energy,child_hunger,child_warmth,deficit,eta,selected_motivation
outcome_eta0.1,14,200,1,1,71.90000000000109,80.0,49.39999999999999,1.7777454602682479,0.1,Forage
outcome_eta0.1,14,210,1,1,69.10000000000113,65.0,50.0,1.9263154785409378,0.1,Care
outcome_eta0.1,14,220,1,1,68.10000000000119,70.0,50.0,2.0832319646000945,0.1,Care
outcome_eta0.1,14,230,1,1,67.10000000000124,75.0,50.0,2.2200490435975833,0.1,Care
outcome_eta0.1,14,240,1,1,63.40000000000128,80.0,49.19999999999999,2.2222816466632858,0.1,Forage
outcome_eta0.1,14,250,1,1,59.70000000000127,65.0,50.0,2.445624464145635,0.1,Care
outcome_eta0.1,14,260,1,1,58.70000000000125,70.0,50.0,2.6271758532067953,0.1,Care
outcome_eta0.1,14,270,1,1,57.70000000000124,75.0,50.0,2.776066065429946,0.1,Care
outcome_eta0.1,14,280,1,1,54.90000000000123,60.0,50.0,2.706999999999989,0.1,Care
outcome_eta0.1,14,290,1,1,53.900000000001214,65.0,50.0,2.7769999999999895,0.1,Care
outcome_eta0.1,14,300,1,1,52.9000000000012,70.0,50.0,2.8469999999999898,0.1,Care
outcome_eta0.1,14,310,1,1,50.10000000000119,75.0,49.599999999999994,2.8509999999999898,0.1,Forage
outcome_eta0.1,14,320,1,1,45.50000000000118,60.0,50.0,2.86499999999999,0.1,Care
outcome_eta0.1,14,330,1,1,44.500000000001165,65.0,50.0,2.9349999999999903,0.1,Care
outcome_eta0.1,14,340,1,1,42.60000000000115,70.0,49.599999999999994,2.9259999999999904,0.1,Forage
outcome_eta0.1,14,350,1,1,40.70000000000114,55.0,50.0,2.900999999999991,0.1,Care
outcome_eta0.1,14,360,1,1,39.700000000001125,60.0,50.0,2.970999999999991,0.1,Care
outcome_eta0.1,14,370,1,1,38.70000000000111,65.0,50.0,3.0409999999999915,0.1,Care
outcome_eta0.1,14,380,1,1,35.9000000000011,50.0,50.0,2.9369999999999914,0.1,Care
outcome_eta0.1,14,390,1,1,34.900000000001086,55.0,50.0,3.0069999999999917,0.1,Care
outcome_eta0.1,14,400,1,1,33.90000000000107,60.0,50.0,3.0769999999999924,0.1,Care
outcome_eta0.1,14,410,1,1,32.00000000000106,65.0,49.8,3.163999999999992,0.1,Forage
outcome_eta0.1,14,420,1,1,28.30000000000105,50.0,50.0,3.068999999999993,0.1,Care
outcome_eta0.1,14,430,1,1,27.300000000001035,55.0,50.0,3.138999999999993,0.1,Care
outcome_eta0.1,14,440,1,1,26.30000000000102,60.0,50.0,3.208999999999993,0.1,Care
outcome_eta0.1,14,450,1,1,21.750000000001013,45.0,48.59999999999998,3.127499999999994,0.1,Forage
outcome_eta0.1,14,460,1,1,20.800000000001,50.0,50.0,3.1379999999999937,0.1,Care
outcome_eta0.1,14,470,1,1,19.800000000000985,55.0,50.0,3.207999999999994,0.1,Care
outcome_eta0.1,14,480,1,1,18.80000000000097,60.0,50.0,3.2779999999999943,0.1,Care
outcome_eta0.1,14,490,1,1,17.450000000000966,45.0,47.99999999999997,3.184499999999995,0.1,Self
outcome_eta0.1,14,500,1,1,16.500000000000952,50.0,50.0,3.1829999999999945,0.1,Care
outcome_eta0.1,14,510,1,1,15.500000000000947,55.0,50.0,3.252999999999995,0.1,Care
outcome_eta0.1,14,520,1,1,17.75000000000095,60.0,49.39999999999999,3.14848665787766,0.1,Forage
outcome_eta0.1,14,530,1,1,17.300000000000942,45.0,48.39999999999996,3.152999999999996,0.1,Self
outcome_eta0.1,14,540,1,1,16.300000000000928,50.0,50.0,3.1909999999999954,0.1,Care
outcome_eta0.1,14,550,1,1,15.350000000000927,55.0,50.0,3.2294999999999954,0.1,Care
outcome_eta0.1,14,560,1,1,16.65000000000093,60.0,49.19999999999999,3.1462411698004784,0.1,Forage
outcome_eta0.1,14,570,1,1,19.350000000000925,65.0,47.19999999999996,3.4054999999999964,0.1,Forage
outcome_eta0.1,14,580,1,1,13.950000000000923,50.0,46.19999999999993,3.297499999999997,0.1,Care
