tick,plasticity_this_tick,m0_energy,m0_fatigue,m0_bonding,m0_fear_threat,m0_stress,m0_closeness_child,m0_OT,m0_CORT,m0_mot_Forage,m0_mot_Care,m0_mot_Self,m0_mot_Protect,m0_sel_Forage,m0_sel_Care,m0_sel_Self,m0_sel_Protect,c0_hunger,c0_warmth,c0_injury
27,0,90.10000000000005,6.299999999999995,100.0,35.24596302465074,23.669678288564036,100.0,99.99908240533091,26.608490156666925,13.39770622729361,37.44215959750146,14.521921343396142,30.902096903435073,0,1,0,0,13.5,50.0,0.0
28,0,89.80000000000005,6.399999999999995,100.0,36.40977807672894,34.1196568713879,100.0,99.99954120266545,27.49544278793584,13.415393712758853,37.44215959750146,18.773515926633355,31.456971960198775,0,1,0,0,14.0,50.0,0.0
29,0,89.50000000000006,6.499999999999995,100.0,29.92061779090257,40.083790946137775,100.0,99.99977060133273,23.28042945121554,14.461159633930533,37.44215959750146,20.878830688022877,28.36311853776964,0,1,0,0,14.5,50.0,0.0
30,0,89.20000000000006,6.599999999999994,100.0,21.676037647989382,39.55335566488603,100.0,99.99988530066636,17.895145005077616,15.742743550195346,37.44215959750146,20.326561106685194,24.43232913388377,0,1,0,0,15.0,50.0,0.0
31,0,88.90000000000006,6.699999999999994,100.0,10.838018823994691,34.800405383465346,100.0,99.99994265033318,10.78090583587214,17.37272247162123,37.44215959750146,17.976388110217336,19.265059386485728,0,1,0,0,15.5,50.0,0.0
32,0,88.60000000000007,6.799999999999994,100.0,5.4190094119973455,26.495399800577175,100.0,99.9999713251666,7.279341806824959,18.274727438685712,37.44215959750146,14.480416548853459,16.68142451278671,0,1,0,0,16.0,50.0,0.0
33,0,88.30000000000007,6.899999999999993,100.0,3.212030022940337,19.424928084340465,100.0,99.9999856625833,5.919132225818034,18.745237639907817,37.44215959750146,11.628459252975095,15.62919734697321,0,1,0,0,16.5,50.0,0.0
34,0,88.00000000000007,6.999999999999993,100.0,1.6060150114701686,14.756184791756358,100.0,99.99999283129165,4.959566112909017,19.135016035532082,37.44215959750146,9.756966659230335,14.86349349303045,0,1,0,0,17.0,50.0,0.0
35,0,87.70000000000007,7.0999999999999925,100.0,0.8030075057350843,11.622174992893465,100.0,99.99999641564582,4.535338612010065,19.416920739695755,37.44215959750146,8.532213235584535,14.480641566059072,0,1,0,0,17.5,50.0,0.0
36,0,87.40000000000008,7.199999999999992,100.0,0.40150375286754214,9.701647313472893,100.0,99.99999820782291,4.378780417116143,19.64488859812913,37.44215959750146,7.807563851805109,14.28921560257338,0,1,0,0,18.0,50.0,0.0
37,0,87.10000000000008,7.299999999999992,100.0,0.20075187643377107,8.610918380064343,100.0,99.99999910391145,4.356056875224738,19.845888033697353,37.44215959750146,7.421333715367319,14.193502620830536,0,1,0,0,18.5,50.0,0.0
38,0,86.80000000000008,7.3999999999999915,100.0,0.10037593821688554,8.046617662807229,100.0,99.99999955195572,4.400250659834591,20.033403257833005,37.44215959750146,7.248496816304566,14.145646129959111,0,1,0,0,19.0,50.0,0.0
39,0,86.50000000000009,7.499999999999991,100.0,0.9080523453774936,7.80129547519855,100.0,99.99999977597787,5.04981269187444,20.098933372445114,37.44215959750146,7.2458288244405376,14.530724060915306,0,1,0,0,19.5,50.0,0.0
40,0,86.20000000000009,7.599999999999991,100.0,3.3829583608232676,8.219936083349921,100.0,99.99999988798893,6.810861138026901,19.940492713342625,37.44215959750146,7.586619929062653,15.710691284533098,0,1,0,0,20.0,50.0,0.0
41,0,85.90000000000009,7.69999999999999,100.0,11.691479180411633,9.896796763513905,100.0,99.99999994399447,12.460986124569006,18.99838121805539,37.44215959750146,8.70726530031004,19.67196584715299,0,1,0,0,20.5,50.0,0.0
42,0,85.6000000000001,7.79999999999999,100.0,20.845739590205817,15.443664594528276,100.0,99.99999997199723,18.674937506728945,17.942655527435882,37.44215959750146,11.40186037518016,24.036465821134232,0,1,0,0,21.0,50.0,0.0
43,0,85.3000000000001,7.89999999999999,100.0,30.42286979510291,23.395391329575723,100.0,99.99999998599861,25.170802086697808,16.83012273915023,37.44215959750146,15.069569651563425,28.602578500796152,0,1,0,0,21.5,50.0,0.0
44,0,85.0000000000001,7.999999999999989,100.0,38.14036708568598,32.78447518094366,100.0,99.9999999929993,30.426911390994142,15.967407624791601,37.44215959750146,19.217004383515242,32.28206927515872,0,1,0,0,22.0,50.0,0.0
45,0,84.7000000000001,8.099999999999989,100.0,44.92804791911204,41.85910819380964,100.0,99.99999999649965,35.06314305745421,15.22960134739648,37.44215959750146,23.195014085204054,35.51824909687159,0,1,0,0,22.5,50.0,0.0
46,0,84.2000000000001,8.599999999999989,100.0,51.25082052395959,50.259951089093576,100.0,99.99999999824982,39.389435904996155,14.554249488483118,37.44215959750146,26.88366739273773,38.53277344225964,0,0,0,1,23.0,49.5,0.0
47,0,83.7000000000001,9.099999999999989,100.0,51.483274638248844,58.17672768753204,85.85786437626905,92.92893218725943,39.76662753667745,14.697053291945315,29.32522554415095,30.309015188976325,35.43510600355049,0,0,0,1,23.5,49.0,0.0
48,0,83.4000000000001,9.199999999999989,100.0,48.670569507258946,62.50499790207479,100.0,96.46446609362971,38.16926856042841,15.248934926595297,38.1026163885242,32.16584092209326,37.302580614971674,0,1,0,0,24.0,50.0,0.0
49,0,83.10000000000011,9.299999999999988,100.0,44.33528475362947,63.03244497359985,100.0,98.23223304681486,35.251300946880875,16.005355476839174,37.44215959750146,32.22123652011222,35.235635897714864,0,1,0,0,24.5,50.0,0.0
50,0,82.80000000000011,9.399999999999988,100.0,45.096574564949265,60.933973275858925,100.0,99.11611652340743,35.800494154419006,16.077117031745303,37.44215959750146,31.482181516421488,35.59859797361808,0,1,0,0,25.0,50.0,0.0
51,0,82.50000000000011,9.499999999999988,100.0,43.40615165874368,60.377120655496654,100.0,99.5580582617037,34.74993443916665,16.478234538309994,37.44215959750146,31.235596780321924,34.792650753429974,0,1,0,0,25.5,50.0,0.0
