run_dir,csv_path,world,plasticity,init,seed,n_generations,asymp_fitness,asymp_maternal_fraction,asymp_frac_care,asymp_frac_protect,asymp_frac_forage,asymp_frac_self,asymp_child_ttd_norm,asymp_mother_ttd_norm,asymp_u_drift_end,asymp_du_plastic,asymp_du_plastic_peak,asymp_plastic_active_frac,asymp_lr_eff
P2_anti_maternal_seed50,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_anti_maternal_seed50/lineage_generations.csv,,P2,anti_maternal,50,3001,0.5995,0.199,0.1740999999999999,0.0249,0.7792,0.0217999999999999,0.199,1.0,0.2678353097939921,0.0036380237175279,0.048,0.1076,0.0199999999999999
P2_anti_maternal_seed51,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_anti_maternal_seed51/lineage_generations.csv,,P2,anti_maternal,51,3001,0.5892499999999999,0.2394772151898734,0.2373772151898734,0.0021,0.7583506329113925,0.0021721518987341,0.2389999999999999,0.9395,0.3347986637739685,0.0058109823700356,0.052,0.1537443037974683,0.0199999999999999
P2_pro_maternal_seed42,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_pro_maternal_seed42/lineage_generations.csv,,P2,pro_maternal,42,3001,0.4206999999999999,0.1846543449018025,0.1719876782351358,0.0126666666666666,0.7772414850686037,0.0381041700295937,0.2683,0.8773,0.3280764922975782,0.0071836263151327,0.058,0.1773742265267689,0.0199999999999999
P2_pro_maternal_seed43,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_pro_maternal_seed43/lineage_generations.csv,,P2,pro_maternal,43,3001,0.4317,0.1750125,0.1650499999999999,0.0099625,0.785175,0.0398125,0.2513999999999999,0.932,0.3190706258110878,0.0061059308092212,0.058,0.1583,0.0199999999999999
P2_pro_maternal_seed44,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_pro_maternal_seed44/lineage_generations.csv,,P2,pro_maternal,44,3001,0.4482499999999999,0.1909535277484413,0.1909535277484413,0.0,0.7731107144073859,0.0359357578441726,0.2673,0.8692,0.330676222034,0.0073042890588587,0.056,0.1831134637004735,0.0199999999999999
P2_pro_maternal_seed45,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_pro_maternal_seed45/lineage_generations.csv,,P2,pro_maternal,45,3001,0.39325,0.3652878171889315,0.3475368133001419,0.0177510038887896,0.6205673120371207,0.0141448707739478,0.3371,0.6192,0.4181236612577866,0.0129491505875478,0.06,0.3138484745371261,0.0199999999999999
P2_pro_maternal_seed46,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_pro_maternal_seed46/lineage_generations.csv,,P2,pro_maternal,46,3001,0.3905999999999999,0.2220790898756033,0.2211925796116737,0.0008865102639296,0.6600172356152407,0.117903674509156,0.2521,0.6698999999999999,0.3585188906785905,0.0109645374909555,0.056,0.2921822131231045,0.0199999999999999
P2_pro_maternal_seed47,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_pro_maternal_seed47/lineage_generations.csv,,P2,pro_maternal,47,3001,0.4769,0.1006045317220543,0.1003045317220543,0.0003,0.7856347432024169,0.1137607250755287,0.1999,0.9331,0.2648326014813431,0.0050572892381248,0.054,0.1308214501510574,0.0199999999999999
P2_pro_maternal_seed48,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_pro_maternal_seed48/lineage_generations.csv,,P2,pro_maternal,48,3001,0.3802500000000001,0.1036327731092437,0.1035327731092436,0.0001,0.7815963585434174,0.1147708683473389,0.2048,0.8757000000000001,0.2578631130018628,0.0059194369016034,0.054,0.1476162464985994,0.0199999999999999
P2_pro_maternal_seed49,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_pro_maternal_seed49/lineage_generations.csv,,P2,pro_maternal,49,3001,0.4561,0.2462560906747287,0.2209206868895368,0.0253354037851919,0.7359288675458336,0.0178150417794376,0.3267,0.8125,0.3689962739739326,0.0090031044588385,0.06,0.2263311325042592,0.0199999999999999
P2_pro_maternal_seed50,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_pro_maternal_seed50/lineage_generations.csv,,P2,pro_maternal,50,3001,0.39835,0.1411769516728624,0.1090936802973977,0.0320832713754646,0.7883118959107807,0.0705111524163568,0.2298,0.9269,0.2983711054262655,0.0057590836747416,0.056,0.1457724907063197,0.02
P2_pro_maternal_seed51,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_pro_maternal_seed51/lineage_generations.csv,,P2,pro_maternal,51,3001,0.4205499999999999,0.2319608695652174,0.2279608695652174,0.004,0.7414913043478261,0.0265478260869565,0.3182999999999999,0.8827999999999999,0.4183791274101643,0.0087069735301031,0.06,0.1971434782608695,0.0199999999999999
P2_random_uniform_seed42,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_random_uniform_seed42/lineage_generations.csv,,P2,random_uniform,42,3001,0.3888999999999999,0.1144688621015176,0.0402381381163314,0.0742307239851862,0.8064179652893764,0.0791131726091061,0.1909,0.8668999999999999,0.2073522379289785,0.0052254615964799,0.056,0.1182368455449858,0.0199999999999999
P2_random_uniform_seed43,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_random_uniform_seed43/lineage_generations.csv,,P2,random_uniform,43,3001,0.4907999999999999,0.3409316167975023,0.3383316167975023,0.0026,0.6465168964288077,0.01255148677369,0.2621,0.8004999999999999,0.3341355929883043,0.0084779715678965,0.054,0.2243698601641857,0.0199999999999999
P2_random_uniform_seed44,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_random_uniform_seed44/lineage_generations.csv,,P2,random_uniform,44,3001,0.40615,0.1256760115606936,0.1115517341040462,0.0141242774566474,0.8392705202312138,0.0350534682080924,0.2159,0.8666,0.306981561063618,0.0068701838919987,0.056,0.1845458092485549,0.0199999999999999
P2_random_uniform_seed45,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_random_uniform_seed45/lineage_generations.csv,,P2,random_uniform,45,3001,0.5995,0.1979,0.1979,0.0,0.7993,0.0028,0.199,1.0,0.3209791369128407,0.004263749642954,0.048,0.1314,0.0199999999999999
P2_random_uniform_seed46,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_random_uniform_seed46/lineage_generations.csv,,P2,random_uniform,46,3001,0.4973499999999999,0.1473489028213166,0.1471489028213166,0.0002,0.7708570532915361,0.0817940438871473,0.202,0.9319,0.2937989033911942,0.00534481005666,0.054,0.1558567398119122,0.0199999999999999
P2_random_uniform_seed47,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_random_uniform_seed47/lineage_generations.csv,,P2,random_uniform,47,3001,0.4949499999999999,0.3528945716349475,0.3482880142578984,0.0046065573770491,0.6400704368444193,0.0070349915206331,0.2449999999999999,0.7883,0.3134091420894767,0.0080665881269975,0.054,0.2073844215187488,0.0199999999999999
P2_random_uniform_seed48,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_random_uniform_seed48/lineage_generations.csv,,P2,random_uniform,48,3001,0.5995,0.1982,0.1976,0.0006,0.7979,0.0039,0.199,1.0,0.2648284824889432,0.0035579417898673,0.044,0.1018,0.0199999999999999
P2_random_uniform_seed49,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_random_uniform_seed49/lineage_generations.csv,,P2,random_uniform,49,3001,0.45745,0.2072588141684834,0.1557561865313203,0.0515026276371631,0.7423115989151681,0.0504295869163483,0.3326,0.7335,0.3274691383390576,0.0094388910525533,0.06,0.2453672820797264,0.0199999999999999
P2_random_uniform_seed50,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_random_uniform_seed50/lineage_generations.csv,,P2,random_uniform,50,3001,0.57075,0.1543999999999999,0.1543999999999999,0.0,0.8150999999999999,0.0305,0.1815,1.0,0.2215129321881591,0.0029701551862579,0.044,0.0911,0.0199999999999999
P2_random_uniform_seed51,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_random_uniform_seed51/lineage_generations.csv,,P2,random_uniform,51,3001,0.3848500000000001,0.1890371546800326,0.1890371546800326,0.0,0.7331346835295489,0.0778281617904184,0.2556,0.8741,0.338252141326094,0.0073058649664592,0.058,0.2138606072968877,0.0199999999999999
